Customer Name,Segment,Region,Total_Sales,Total_Profit,Order_Count,Avg_Order_Value
Tamara Chand,Corporate,West,19052.22,8981.32,12,1587.68
Raymond Buch,Consumer,East,15117.34,6976.1,18,839.85
Sanjit Chand,Consumer,West,14142.33,5757.41,22,642.83
Hunter Lopez,Consumer,Central,12873.3,5622.43,11,1170.3
Adrian Barton,Consumer,West,14473.57,5444.81,20,723.68
Tom Ashbrook,Home Office,East,14595.62,4703.79,10,1459.56
Christopher Martinez,Consumer,South,8954.02,3899.89,10,895.4
Keith Dawkins,Corporate,East,8181.26,3038.63,28,292.19
Andy Reiter,Consumer,East,6608.45,2884.62,9,734.27
Daniel Raglin,Home Office,East,8350.87,2869.08,13,642.37
